"","Trinta","Sessenta","Cento_e_vinte","log30","log60","log120","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","Data","Dispersas"
"80",40,38,35,3.71357206670431,3.66356164612965,3.58351893845611,"AFV12","Anathema","C1","P","S",13.5,2,0,0,"N",2017-08-15,FALSE
"81",40,38,35,3.71357206670431,3.66356164612965,3.58351893845611,"AFV12","Anathema","C10","P","N",13.5,3.5,0,0,"N",2017-08-15,FALSE
"82",40,38,35,3.71357206670431,3.66356164612965,3.58351893845611,"AFV12","Anathema","C2","P","N",28,4,2,1,"N",2017-08-15,FALSE
"83",40,38,35,3.71357206670431,3.66356164612965,3.58351893845611,"AFV12","Anathema","C3","P","S",26,0,0,0,"N",2017-08-15,FALSE
"84",40,38,35,3.71357206670431,3.66356164612965,3.58351893845611,"AFV12","Anathema","C6","P","N",14.6,2,0,0,"N",2017-08-15,FALSE
"85",40,38,35,3.71357206670431,3.66356164612965,3.58351893845611,"AFV12","Anathema","C7","P","S",8.8,0,0,0,"N",2017-08-15,FALSE
"86",40,38,35,3.71357206670431,3.66356164612965,3.58351893845611,"AFV12","Anathema","C8","P","N",3.4,0.8,0.5,0,"N",2017-08-15,FALSE
"87",40,38,35,3.71357206670431,3.66356164612965,3.58351893845611,"AFV12","Anathema","C9","P","N",7.9,0.3,0,0,"N",2017-08-15,FALSE
"88",69,62,55,4.24849524204936,4.14313472639153,4.02535169073515,"AFV13","Centro de Visitantes","C1","P","N",0,0,0,0,"N",2017-08-15,FALSE
"89",69,62,55,4.24849524204936,4.14313472639153,4.02535169073515,"AFV13","Centro de Visitantes","C5","P","N",0,0,0,0,"N",2017-08-15,FALSE
"90",69,62,55,4.24849524204936,4.14313472639153,4.02535169073515,"AFV13","Centro de Visitantes","C7","P","N",0,0,0,0,"N",2017-08-15,FALSE
"91",15,13,12,2.77258872223978,2.63905732961526,2.56494935746154,"AFV15","Cova da onca","C10","P","N",18.3,0,0,0,"N",2017-08-15,FALSE
"92",15,13,12,2.77258872223978,2.63905732961526,2.56494935746154,"AFV15","Cova da onca","C2","P","N",10.6,0,0,0,"N",2017-08-15,FALSE
"93",15,13,12,2.77258872223978,2.63905732961526,2.56494935746154,"AFV15","Cova da onca","C7","P","N",2.8,0,0,0,"N",2017-08-15,FALSE
"94",15,13,12,2.77258872223978,2.63905732961526,2.56494935746154,"AFV15","Cova da onca","C8","P","N",6.2,0,0,0,"N",2017-08-15,FALSE
"95",15,13,12,2.77258872223978,2.63905732961526,2.56494935746154,"AFV15","Cova da onca","C9","P","N",32.3,0,0,0,"N",2017-08-15,FALSE
"96",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C1","N","N",0,0,0,0,"N",2017-08-15,FALSE
"97",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C10","N","N",0,0,0,0,"N",2017-08-15,FALSE
"98",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C2","N","N",0,0,0,0,"N",2017-08-15,FALSE
"99",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C3","N","N",0,0,0,0,"N",2017-08-15,FALSE
"100",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C4","N","N",0,0,0,0,"N",2017-08-15,FALSE
"101",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C5","N","N",0,0,0,0,"N",2017-08-15,FALSE
"102",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C6","N","N",0,0,0,0,"N",2017-08-15,FALSE
"103",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C7","N","N",0,0,0,0,"N",2017-08-15,FALSE
"104",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C8","N","N",0,0,0,0,"N",2017-08-15,FALSE
"105",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C9","N","N",0,0,0,0,"N",2017-08-15,FALSE
"106",14,12,11,2.70805020110221,2.56494935746154,2.484906649788,"AFV17a","Casas","C1","N","S",5.1,3,0,0,"N",2017-08-15,FALSE
"107",14,12,11,2.70805020110221,2.56494935746154,2.484906649788,"AFV17a","Casas","C4","D","S",17.2,0,0,0,"N",2017-08-15,TRUE
"108",14,12,11,2.70805020110221,2.56494935746154,2.484906649788,"AFV17a","Casas","C6","D","S",18.1,0,0,0,"N",2017-08-15,TRUE
"109",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C1","N","N",0,0,0,0,"N",2017-08-15,FALSE
"110",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C10","N","N",0,0,0,0,"N",2017-08-15,FALSE
"111",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C2","N","N",0,0,0,0,"N",2017-08-15,FALSE
"112",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C3","N","N",0,0,0,0,"N",2017-08-15,FALSE
"113",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C4","N","N",0,0,0,0,"N",2017-08-15,FALSE
"114",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C5","N","N",0,0,0,0,"N",2017-08-15,FALSE
"115",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C6","N","N",0,0,0,0,"N",2017-08-15,FALSE
"116",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C7","N","N",0,0,0,0,"N",2017-08-15,FALSE
"117",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C8","N","N",0,0,0,0,"N",2017-08-15,FALSE
"118",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C9","N","N",0,0,0,0,"N",2017-08-15,FALSE
