"","X.1","X","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","Data","N","Sessenta"
"145",145,153,"AFV02","Restaurante Abaixo","C4","N","N",0,0,0,0,"N","2017/06/15",153,35.69
"146",146,193,"AFV02","Restaurante Abaixo","C4","N","N",0,0,0,0,"N","2017/06/29",193,35.69
"147",147,143,"AFV02","Restaurante Abaixo","C4","N","N",0,0,0,0,"N","2017/07/13",143,35.69
"148",148,163,"AFV02","Restaurante Abaixo","C4","N","N",0,0,0,0,"N","2017/08/15",163,35.69
"149",149,114,"AFV02","Restaurante Abaixo","C5","N","N",0,0,0,0,"N","2017/05/05",114,35.69
"150",150,124,"AFV02","Restaurante Abaixo","C5","N","N",0,0,0,0,"N","2017/05/07",124,35.69
"151",151,134,"AFV02","Restaurante Abaixo","C5","N","N",0,0,0,0,"N","2017/05/11",134,35.69
"152",152,174,"AFV02","Restaurante Abaixo","C5","N","N",0,0,0,0,"N","2017/05/18",174,35.69
"153",153,184,"AFV02","Restaurante Abaixo","C5","N","N",0,0,0,0,"N","2017/05/25",184,35.69
"154",154,104,"AFV02","Restaurante Abaixo","C5","N","N",0,0,0,0,"N","2017/06/01",104,35.69
"155",155,154,"AFV02","Restaurante Abaixo","C5","N","N",0,0,0,0,"N","2017/06/15",154,35.69
"156",156,194,"AFV02","Restaurante Abaixo","C5","N","N",0,0,0,0,"N","2017/06/29",194,35.69
"157",157,144,"AFV02","Restaurante Abaixo","C5","N","N",0,0,0,0,"N","2017/07/13",144,35.69
"158",158,164,"AFV02","Restaurante Abaixo","C5","N","N",0,0,0,0,"N","2017/08/15",164,35.69
"159",159,115,"AFV02","Restaurante Abaixo","C6","N","N",0,0,0,0,"N","2017/05/05",115,35.69
"160",160,125,"AFV02","Restaurante Abaixo","C6","N","N",0,0,0,0,"N","2017/05/07",125,35.69
"161",161,135,"AFV02","Restaurante Abaixo","C6","N","N",0,0,0,0,"N","2017/05/11",135,35.69
"162",162,175,"AFV02","Restaurante Abaixo","C6","N","N",0,0,0,0,"N","2017/05/18",175,35.69
"163",163,185,"AFV02","Restaurante Abaixo","C6","N","N",0,0,0,0,"N","2017/05/25",185,35.69
"164",164,105,"AFV02","Restaurante Abaixo","C6","N","N",0,0,0,0,"N","2017/06/01",105,35.69
"165",165,155,"AFV02","Restaurante Abaixo","C6","N","N",0,0,0,0,"N","2017/06/15",155,35.69
"166",166,195,"AFV02","Restaurante Abaixo","C6","N","N",0,0,0,0,"N","2017/06/29",195,35.69
"167",167,145,"AFV02","Restaurante Abaixo","C6","N","N",0,0,0,0,"N","2017/07/13",145,35.69
"168",168,165,"AFV02","Restaurante Abaixo","C6","N","N",0,0,0,0,"N","2017/08/15",165,35.69
"169",169,116,"AFV02","Restaurante Abaixo","C7","N","N",0,0,0,0,"N","2017/05/05",116,35.69
"170",170,126,"AFV02","Restaurante Abaixo","C7","N","N",0,0,0,0,"N","2017/05/07",126,35.69
"171",171,136,"AFV02","Restaurante Abaixo","C7","N","N",0,0,0,0,"N","2017/05/11",136,35.69
"172",172,176,"AFV02","Restaurante Abaixo","C7","N","N",0,0,0,0,"N","2017/05/18",176,35.69
"173",173,186,"AFV02","Restaurante Abaixo","C7","N","N",0,0,0,0,"N","2017/05/25",186,35.69
"174",174,106,"AFV02","Restaurante Abaixo","C7","N","N",0,0,0,0,"N","2017/06/01",106,35.69
"175",175,156,"AFV02","Restaurante Abaixo","C7","N","N",0,0,0,0,"N","2017/06/15",156,35.69
"176",176,196,"AFV02","Restaurante Abaixo","C7","N","N",0,0,0,0,"N","2017/06/29",196,35.69
"177",177,146,"AFV02","Restaurante Abaixo","C7","N","N",0,0,0,0,"N","2017/07/13",146,35.69
"178",178,166,"AFV02","Restaurante Abaixo","C7","N","N",0,0,0,0,"N","2017/08/15",166,35.69
"179",179,117,"AFV02","Restaurante Abaixo","C8","N","N",0,0,0,0,"N","2017/05/05",117,35.69
"180",180,127,"AFV02","Restaurante Abaixo","C8","N","N",0,0,0,0,"N","2017/05/07",127,35.69
"181",181,137,"AFV02","Restaurante Abaixo","C8","N","N",0,0,0,0,"N","2017/05/11",137,35.69
"182",182,177,"AFV02","Restaurante Abaixo","C8","N","N",0,0,0,0,"N","2017/05/18",177,35.69
"183",183,187,"AFV02","Restaurante Abaixo","C8","N","N",0,0,0,0,"N","2017/05/25",187,35.69
"184",184,107,"AFV02","Restaurante Abaixo","C8","N","N",0,0,0,0,"N","2017/06/01",107,35.69
"185",185,157,"AFV02","Restaurante Abaixo","C8","N","N",0,0,0,0,"N","2017/06/15",157,35.69
"186",186,197,"AFV02","Restaurante Abaixo","C8","N","N",0,0,0,0,"N","2017/06/29",197,35.69
"187",187,147,"AFV02","Restaurante Abaixo","C8","N","N",0,0,0,0,"N","2017/07/13",147,35.69
"188",188,167,"AFV02","Restaurante Abaixo","C8","N","N",0,0,0,0,"N","2017/08/15",167,35.69
"189",189,118,"AFV02","Restaurante Abaixo","C9","N","N",0,0,0,0,"N","2017/05/05",118,35.69
"190",190,128,"AFV02","Restaurante Abaixo","C9","N","N",0,0,0,0,"N","2017/05/07",128,35.69
"191",191,138,"AFV02","Restaurante Abaixo","C9","N","N",0,0,0,0,"N","2017/05/11",138,35.69
"192",192,178,"AFV02","Restaurante Abaixo","C9","N","N",0,0,0,0,"N","2017/05/18",178,35.69
"193",193,188,"AFV02","Restaurante Abaixo","C9","N","N",0,0,0,0,"N","2017/05/25",188,35.69
"194",194,108,"AFV02","Restaurante Abaixo","C9","N","N",0,0,0,0,"N","2017/06/01",108,35.69
"195",195,158,"AFV02","Restaurante Abaixo","C9","N","N",0,0,0,0,"N","2017/06/15",158,35.69
"196",196,198,"AFV02","Restaurante Abaixo","C9","N","N",0,0,0,0,"N","2017/06/29",198,35.69
"197",197,148,"AFV02","Restaurante Abaixo","C9","N","N",0,0,0,0,"N","2017/07/13",148,35.69
"198",198,168,"AFV02","Restaurante Abaixo","C9","N","N",0,0,0,0,"N","2017/08/15",168,35.69
"199",199,209,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N","2017/05/05",209,21
"200",200,219,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N","2017/05/07",219,21
"201",201,229,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N","2017/05/11",229,21
"202",202,269,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N","2017/05/18",269,21
"203",203,279,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N","2017/05/25",279,21
"204",204,199,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N","2017/06/01",199,21
"205",205,249,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N","2017/06/15",249,21
"206",206,289,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N","2017/06/29",289,21
"207",207,239,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N","2017/07/13",239,21
"208",208,259,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N","2017/08/15",259,21
"209",209,210,"AFV03","Circuito Mylena","C10","N","N",0,0,0,0,"N","2017/05/05",210,21
"210",210,220,"AFV03","Circuito Mylena","C10","N","N",0,0,0,0,"N","2017/05/07",220,21
"211",211,230,"AFV03","Circuito Mylena","C10","N","N",0,0,0,0,"N","2017/05/11",230,21
"212",212,270,"AFV03","Circuito Mylena","C10","N","N",0,0,0,0,"N","2017/05/18",270,21
"213",213,280,"AFV03","Circuito Mylena","C10","N","N",0,0,0,0,"N","2017/05/25",280,21
"214",214,200,"AFV03","Circuito Mylena","C10","N","N",0,0,0,0,"N","2017/06/01",200,21
"215",215,250,"AFV03","Circuito Mylena","C10","N","N",0,0,0,0,"N","2017/06/15",250,21
"216",216,290,"AFV03","Circuito Mylena","C10","N","N",0,0,0,0,"N","2017/06/29",290,21
"217",217,240,"AFV03","Circuito Mylena","C10","N","N",0,0,0,0,"N","2017/07/13",240,21
"218",218,260,"AFV03","Circuito Mylena","C10","N","N",0,0,0,0,"N","2017/08/15",260,21
"219",219,211,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N","2017/05/05",211,21
"220",220,221,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N","2017/05/07",221,21
"221",221,231,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N","2017/05/11",231,21
"222",222,271,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N","2017/05/18",271,21
"223",223,281,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N","2017/05/25",281,21
"224",224,201,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N","2017/06/01",201,21
"225",225,251,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N","2017/06/15",251,21
"226",226,291,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N","2017/06/29",291,21
"227",227,241,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N","2017/07/13",241,21
"228",228,261,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N","2017/08/15",261,21
"229",229,212,"AFV03","Circuito Mylena","C3","N","N",0,0,0,0,"N","2017/05/05",212,21
"230",230,222,"AFV03","Circuito Mylena","C3","N","N",0,0,0,0,"N","2017/05/07",222,21
"231",231,232,"AFV03","Circuito Mylena","C3","N","N",0,0,0,0,"N","2017/05/11",232,21
"232",232,272,"AFV03","Circuito Mylena","C3","N","N",0,0,0,0,"N","2017/05/18",272,21
"233",233,282,"AFV03","Circuito Mylena","C3","D","N",3,0,0,0,"S","2017/05/25",282,21
"234",234,202,"AFV03","Circuito Mylena","C3","D","N",16.1,15,0,0,"S","2017/06/01",202,21
"235",235,252,"AFV03","Circuito Mylena","C3","D","N",29.5,15,17,0,"S","2017/06/15",252,21
"236",236,292,"AFV03","Circuito Mylena","C3","D","N",29.5,15,17,0,"N","2017/06/29",292,21
"237",237,242,"AFV03","Circuito Mylena","C3","D","N",29.5,15,17,0,"N","2017/07/13",242,21
"238",238,262,"AFV03","Circuito Mylena","C3","D","N",29.5,15,17,0,"N","2017/08/15",262,21
"239",239,213,"AFV03","Circuito Mylena","C4","N","N",0,0,0,0,"N","2017/05/05",213,21
"240",240,223,"AFV03","Circuito Mylena","C4","N","N",0,0,0,0,"N","2017/05/07",223,21
"241",241,233,"AFV03","Circuito Mylena","C4","N","N",0,0,0,0,"N","2017/05/11",233,21
"242",242,273,"AFV03","Circuito Mylena","C4","N","N",0,0,0,0,"N","2017/05/18",273,21
"243",243,283,"AFV03","Circuito Mylena","C4","D","N",57.2,0,0,0,"S","2017/05/25",283,21
"244",244,203,"AFV03","Circuito Mylena","C4","D","N",57.2,0,0,0,"N","2017/06/01",203,21
"245",245,253,"AFV03","Circuito Mylena","C4","D","N",57.2,0,0,0,"N","2017/06/15",253,21
"246",246,293,"AFV03","Circuito Mylena","C4","D","N",58.2,1,0,0,"S","2017/06/29",293,21
"247",247,243,"AFV03","Circuito Mylena","C4","D","N",58.2,1,0,0,"N","2017/07/13",243,21
"248",248,263,"AFV03","Circuito Mylena","C4","D","N",67.2,1,15.2,0,"S","2017/08/15",263,21
"249",249,214,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N","2017/05/05",214,21
"250",250,224,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N","2017/05/07",224,21
"251",251,234,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N","2017/05/11",234,21
"252",252,274,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N","2017/05/18",274,21
"253",253,284,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N","2017/05/25",284,21
"254",254,204,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N","2017/06/01",204,21
"255",255,254,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N","2017/06/15",254,21
"256",256,294,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N","2017/06/29",294,21
"257",257,244,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N","2017/07/13",244,21
