"","X","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","X12","X13","Data","N","Sessenta"
"1080",1609,"AFV13","Centro de Visitantes","C9","D","S","41.3","0",0,0,"N",NA,1609,"2018/08/01",1609,60
"1081",71,"AFV14","Capela","C1","N","N","0","0",0,0,"N",NA,71,"2018/04/20",71,23
"1082",261,"AFV14","Capela","C1","N","N","0","0",0,0,"N",NA,261,"2018/04/24",261,23
"1083",451,"AFV14","Capela","C1","N","N","0","0",0,0,"N",NA,451,"2018/05/02",451,23
"1084",641,"AFV14","Capela","C1","N","N","0","0",0,0,"N",NA,641,"2018/05/09",641,23
"1085",831,"AFV14","Capela","C1","N","N","0","0",0,0,"N",NA,831,"2018/05/16",831,23
"1086",1021,"AFV14","Capela","C1","N","N","0","0",0,0,"N",NA,1021,"2018/05/30",1021,23
"1087",1211,"AFV14","Capela","C1","N","N","0","0",0,0,"N",NA,1211,"2018/06/14",1211,23
"1088",1401,"AFV14","Capela","C1","N","N","0","0",0,0,"N",NA,1401,"2018/07/02",1401,23
"1089",1591,"AFV14","Capela","C1","S","N","0","0",0,0,"S",NA,1591,"2018/08/01",1591,23
"1090",80,"AFV14","Capela","C10","N","N","0","0",0,0,"N",NA,80,"2018/04/20",80,23
"1091",270,"AFV14","Capela","C10","N","N","0","0",0,0,"N",NA,270,"2018/04/24",270,23
"1092",460,"AFV14","Capela","C10","N","N","0","0",0,0,"N",NA,460,"2018/05/02",460,23
"1093",650,"AFV14","Capela","C10","N","N","0","0",0,0,"N",NA,650,"2018/05/09",650,23
"1094",840,"AFV14","Capela","C10","N","N","0","0",0,0,"N",NA,840,"2018/05/16",840,23
"1095",1030,"AFV14","Capela","C10","N","N","0","0",0,0,"N",NA,1030,"2018/05/30",1030,23
"1096",1220,"AFV14","Capela","C10","N","N","0","0",0,0,"N",NA,1220,"2018/06/14",1220,23
"1097",1410,"AFV14","Capela","C10","S","N","0","0",0,0,"S",NA,1410,"2018/07/02",1410,23
"1098",1600,"AFV14","Capela","C10","S","N","0","0",0,0,"N",NA,1600,"2018/08/01",1600,23
"1099",72,"AFV14","Capela","C2","N","N","0","0",0,0,"N",NA,72,"2018/04/20",72,23
"1100",262,"AFV14","Capela","C2","D","S","26.6","0",0,0,"S",NA,262,"2018/04/24",262,23
"1101",452,"AFV14","Capela","C2","D","S","26.6","0",0,0,"N",NA,452,"2018/05/02",452,23
"1102",642,"AFV14","Capela","C2","D","S","26.6","0",0,0,"N",NA,642,"2018/05/09",642,23
"1103",832,"AFV14","Capela","C2","D","S","26.6","0",0,0,"N",NA,832,"2018/05/16",832,23
"1104",1022,"AFV14","Capela","C2","D","S","26.6","0",0,0,"N",NA,1022,"2018/05/30",1022,23
"1105",1212,"AFV14","Capela","C2","D","S","26.6","0",0,0,"N",NA,1212,"2018/06/14",1212,23
"1106",1402,"AFV14","Capela","C2","D","S","26.6","0",0,0,"N",NA,1402,"2018/07/02",1402,23
"1107",1592,"AFV14","Capela","C2","D","S","26.6","0",0,0,"N",NA,1592,"2018/08/01",1592,23
"1108",73,"AFV14","Capela","C3","N","N","0","0",0,0,"N",NA,73,"2018/04/20",73,23
"1109",263,"AFV14","Capela","C3","N","N","0","0",0,0,"N",NA,263,"2018/04/24",263,23
"1110",453,"AFV14","Capela","C3","N","N","0","0",0,0,"N",NA,453,"2018/05/02",453,23
"1111",643,"AFV14","Capela","C3","N","N","0","0",0,0,"N",NA,643,"2018/05/09",643,23
"1112",833,"AFV14","Capela","C3","N","N","0","0",0,0,"N",NA,833,"2018/05/16",833,23
"1113",1023,"AFV14","Capela","C3","N","N","0","0",0,0,"N",NA,1023,"2018/05/30",1023,23
"1114",1213,"AFV14","Capela","C3","N","N","0","0",0,0,"N",NA,1213,"2018/06/14",1213,23
"1115",1403,"AFV14","Capela","C3","S","N","0","0",0,0,"S",NA,1403,"2018/07/02",1403,23
"1116",1593,"AFV14","Capela","C3","S","N","0","0",0,0,"N",NA,1593,"2018/08/01",1593,23
"1117",74,"AFV14","Capela","C4","N","N","0","0",0,0,"N",NA,74,"2018/04/20",74,23
"1118",264,"AFV14","Capela","C4","D","S","12.2","0",0,0,"S",NA,264,"2018/04/24",264,23
"1119",454,"AFV14","Capela","C4","D","S","12.2","0",0,0,"N",NA,454,"2018/05/02",454,23
"1120",644,"AFV14","Capela","C4","D","S","12.2","0",0,0,"N",NA,644,"2018/05/09",644,23
"1121",834,"AFV14","Capela","C4","D","S","12.2","0",0,0,"N",NA,834,"2018/05/16",834,23
"1122",1024,"AFV14","Capela","C4","D","S","12.2","0",0,0,"N",NA,1024,"2018/05/30",1024,23
"1123",1214,"AFV14","Capela","C4","D","S","12.2","0",0,0,"N",NA,1214,"2018/06/14",1214,23
"1124",1404,"AFV14","Capela","C4","D","S","12.2","0",0,0,"N",NA,1404,"2018/07/02",1404,23
"1125",1594,"AFV14","Capela","C4","D","S","12.2","0",0,0,"N",NA,1594,"2018/08/01",1594,23
"1126",75,"AFV14","Capela","C5","N","N","0","0",0,0,"N",NA,75,"2018/04/20",75,23
"1127",265,"AFV14","Capela","C5","S","N","21","0",0,0,"S",NA,265,"2018/04/24",265,23
"1128",455,"AFV14","Capela","C5","S","N","21","0",0,0,"N",NA,455,"2018/05/02",455,23
"1129",645,"AFV14","Capela","C5","S","N","21","0",0,0,"N",NA,645,"2018/05/09",645,23
"1130",835,"AFV14","Capela","C5","S","N","21","0",0,0,"N",NA,835,"2018/05/16",835,23
"1131",1025,"AFV14","Capela","C5","S","N","21","0",0,0,"N",NA,1025,"2018/05/30",1025,23
"1132",1215,"AFV14","Capela","C5","S","N","21","0",0,0,"N",NA,1215,"2018/06/14",1215,23
"1133",1405,"AFV14","Capela","C5","S","N","21","0",0,0,"N",NA,1405,"2018/07/02",1405,23
"1134",1595,"AFV14","Capela","C5","S","N","21","0",0,0,"N",NA,1595,"2018/08/01",1595,23
"1135",76,"AFV14","Capela","C6","N","N","0","0",0,0,"N",NA,76,"2018/04/20",76,23
"1136",266,"AFV14","Capela","C6","N","N","0","0",0,0,"N",NA,266,"2018/04/24",266,23
"1137",456,"AFV14","Capela","C6","N","N","0","0",0,0,"N",NA,456,"2018/05/02",456,23
"1138",646,"AFV14","Capela","C6","N","N","0","0",0,0,"N",NA,646,"2018/05/09",646,23
"1139",836,"AFV14","Capela","C6","N","N","0","0",0,0,"N",NA,836,"2018/05/16",836,23
