"","X","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","X12","X13","Data","Trinta","Sessenta","Cento_e_vinte"
"95",95,"AFV03","Circuito Mylena","C3","S","N",0,0,0,0,"N",NA,NA,"2018-08-01",17.14285714,12.85714286,11.42857143
"96",96,"AFV03","Circuito Mylena","C1","S","N",0,0,0,0,"N",NA,NA,"2018-08-01",17.14285714,12.85714286,11.42857143
"97",97,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N",NA,NA,"2018-05-16",17.14285714,12.85714286,11.42857143
"98",98,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N",NA,NA,"2018-05-09",17.14285714,12.85714286,11.42857143
"99",99,"AFV03","Circuito Mylena","C10","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",17.14285714,12.85714286,11.42857143
"100",100,"AFV03","Circuito Mylena","C4","D","S",22,0,0,0,"N",NA,NA,"2018-06-14",17.14285714,12.85714286,11.42857143
"101",101,"AFV03","Circuito Mylena","C10","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",17.14285714,12.85714286,11.42857143
"102",102,"AFV03","Circuito Mylena","C7","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",17.14285714,12.85714286,11.42857143
"103",103,"AFV03","Circuito Mylena","C8","S","N",0,0,0,0,"S",NA,NA,"2018-05-16",17.14285714,12.85714286,11.42857143
"104",104,"AFV03","Circuito Mylena","C9","S","N",0,0,0,0,"N",NA,NA,"2018-07-02",17.14285714,12.85714286,11.42857143
"105",105,"AFV03","Circuito Mylena","C2","S","N",0,0,0,0,"N",NA,NA,"2018-07-02",17.14285714,12.85714286,11.42857143
"106",106,"AFV03","Circuito Mylena","C7","N","N",0,0,0,0,"N",NA,NA,"2018-05-09",17.14285714,12.85714286,11.42857143
"107",107,"AFV03","Circuito Mylena","C6","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",17.14285714,12.85714286,11.42857143
"108",108,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",17.14285714,12.85714286,11.42857143
"109",109,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",17.14285714,12.85714286,11.42857143
"110",110,"AFV03","Circuito Mylena","C2","S","N",0,0,0,0,"S",NA,NA,"2018-05-30",17.14285714,12.85714286,11.42857143
"111",111,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N",NA,NA,"2018-05-30",17.14285714,12.85714286,11.42857143
"112",112,"AFV03","Circuito Mylena","C8","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",17.14285714,12.85714286,11.42857143
"113",113,"AFV03","Circuito Mylena","C4","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",17.14285714,12.85714286,11.42857143
"114",114,"AFV03","Circuito Mylena","C4","D","S",22,0,0,0,"N",NA,NA,"2018-07-02",17.14285714,12.85714286,11.42857143
"115",115,"AFV03","Circuito Mylena","C6","S","N",0,0,0,0,"N",NA,NA,"2018-07-02",17.14285714,12.85714286,11.42857143
"116",116,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N",NA,NA,"2018-05-09",17.14285714,12.85714286,11.42857143
"117",117,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N",NA,NA,"2018-05-16",17.14285714,12.85714286,11.42857143
"118",118,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N",NA,NA,"2018-05-16",17.14285714,12.85714286,11.42857143
"119",119,"AFV03","Circuito Mylena","C1","S","N",0,0,0,0,"N",NA,NA,"2018-07-02",17.14285714,12.85714286,11.42857143
"120",120,"AFV03","Circuito Mylena","C8","S","N",0,0,0,0,"N",NA,NA,"2018-08-01",17.14285714,12.85714286,11.42857143
"121",121,"AFV03","Circuito Mylena","C9","S","N",0,0,0,0,"N",NA,NA,"2018-08-01",17.14285714,12.85714286,11.42857143
"122",122,"AFV03","Circuito Mylena","C10","D","S",12,0,0,0,"N",NA,NA,"2018-08-01",17.14285714,12.85714286,11.42857143
"123",123,"AFV03","Circuito Mylena","C4","D","S",22,0,0,0,"S",NA,NA,"2018-05-30",17.14285714,12.85714286,11.42857143
"124",124,"AFV03","Circuito Mylena","C9","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",17.14285714,12.85714286,11.42857143
"125",125,"AFV03","Circuito Mylena","C8","D","S",13,0,0,0,"S",NA,NA,"2018-05-02",17.14285714,12.85714286,11.42857143
"126",126,"AFV03","Circuito Mylena","C4","D","S",22,0,0,0,"N",NA,NA,"2018-08-01",17.14285714,12.85714286,11.42857143
"127",127,"AFV03","Circuito Mylena","C7","D","S",8,0,0,0,"N",NA,NA,"2018-07-02",17.14285714,12.85714286,11.42857143
"128",128,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N",NA,NA,"2018-08-01",17.14285714,12.85714286,11.42857143
"129",129,"AFV03","Circuito Mylena","C8","S","N",0,0,0,0,"N",NA,NA,"2018-07-02",17.14285714,12.85714286,11.42857143
"130",130,"AFV03","Circuito Mylena","C4","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",17.14285714,12.85714286,11.42857143
"131",131,"AFV03","Circuito Mylena","C6","S","N",0,0,0,0,"S",NA,NA,"2018-05-16",17.14285714,12.85714286,11.42857143
"132",132,"AFV03","Circuito Mylena","C4","N","N",0,0,0,0,"N",NA,NA,"2018-05-09",17.14285714,12.85714286,11.42857143
"133",133,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",17.14285714,12.85714286,11.42857143
"134",134,"AFV03","Circuito Mylena","C6","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",17.14285714,12.85714286,11.42857143
"135",135,"AFV03","Circuito Mylena","C1","S","N",0,0,0,0,"N",NA,NA,"2018-06-14",17.14285714,12.85714286,11.42857143
"136",136,"AFV03","Circuito Mylena","C3","S","N",0,0,0,0,"N",NA,NA,"2018-06-14",17.14285714,12.85714286,11.42857143
"137",137,"AFV03","Circuito Mylena","C2","S","N",0,0,0,0,"N",NA,NA,"2018-06-14",17.14285714,12.85714286,11.42857143
